price,is_weekend_holiday,hour,day_of_week,month,is_dst
55.13,False,19,2,1,False
60.3,False,20,2,1,False
58.05,False,21,2,1,False
46.84,False,22,2,1,False
39.43,False,0,3,1,False
37.0,False,1,3,1,False
34.2,False,2,3,1,False
33.0,False,3,3,1,False
33.05,False,4,3,1,False
37.09,False,5,3,1,False
41.5,False,6,3,1,False
53.07,False,7,3,1,False
57.22,False,8,3,1,False
59.02,False,9,3,1,False
57.58,False,10,3,1,False
57.45,False,11,3,1,False
54.61,False,12,3,1,False
54.83,False,13,3,1,False
54.74,False,14,3,1,False
54.01,False,15,3,1,False
54.96,False,16,3,1,False
57.47,False,17,3,1,False
57.83,False,18,3,1,False
59.08,False,19,3,1,False
63.03,False,20,3,1,False
62.55,False,21,3,1,False
58.17,False,22,3,1,False
55.57,False,0,4,1,False
49.0,False,1,4,1,False
46.15,False,2,4,1,False
46.01,False,3,4,1,False
46.13,False,4,4,1,False
47.29,False,5,4,1,False
56.0,False,6,4,1,False
61.97,False,7,4,1,False
66.58,False,8,4,1,False
66.89,False,9,4,1,False
67.19,False,10,4,1,False
66.34,False,11,4,1,False
63.82,False,12,4,1,False
63.86,False,13,4,1,False
61.59,False,14,4,1,False
61.58,False,15,4,1,False
61.59,False,16,4,1,False
61.97,False,17,4,1,False
66.36,False,18,4,1,False
66.89,False,19,4,1,False
66.89,False,20,4,1,False
66.16,False,21,4,1,False
63.57,False,22,4,1,False
56.02,True,0,5,1,False
48.14,True,1,5,1,False
46.6,True,2,5,1,False
46.1,True,3,5,1,False
46.2,True,4,5,1,False
46.6,True,5,5,1,False
47.13,True,6,5,1,False
50.05,True,7,5,1,False
50.98,True,8,5,1,False
58.16,True,9,5,1,False
60.76,True,10,5,1,False
60.5,True,11,5,1,False
59.5,True,12,5,1,False
59.07,True,13,5,1,False
58.7,True,14,5,1,False
55.57,True,15,5,1,False
54.99,True,16,5,1,False
56.01,True,17,5,1,False
61.0,True,18,5,1,False
61.97,True,19,5,1,False
63.82,True,20,5,1,False
62.11,True,21,5,1,False
59.54,True,22,5,1,False
48.7,True,0,6,1,False
45.27,True,1,6,1,False
43.92,True,2,6,1,False
42.1,True,3,6,1,False
42.09,True,4,6,1,False
42.1,True,5,6,1,False
43.92,True,6,6,1,False
45.01,True,7,6,1,False
45.21,True,8,6,1,False
47.66,True,9,6,1,False
53.9,True,10,6,1,False
54.8,True,11,6,1,False
54.8,True,12,6,1,False
58.11,True,13,6,1,False
58.53,True,14,6,1,False
53.9,True,15,6,1,False
53.15,True,16,6,1,False
54.8,True,17,6,1,False
60.82,True,18,6,1,False
64.97,True,19,6,1,False
67.19,True,20,6,1,False
67.92,True,21,6,1,False
66.01,True,22,6,1,False
60.82,False,0,0,1,False
53.6,False,1,0,1,False
47.66,False,2,0,1,False
46.14,False,3,0,1,False
45.69,False,4,0,1,False
47.13,False,5,0,1,False
55.55,False,6,0,1,False
60.9,False,7,0,1,False
64.99,False,8,0,1,False
66.01,False,9,0,1,False
65.03,False,10,0,1,False
62.07,False,11,0,1,False
61.01,False,12,0,1,False
60.9,False,13,0,1,False
58.7,False,14,0,1,False
57.83,False,15,0,1,False
56.0,False,16,0,1,False
57.83,False,17,0,1,False
61.59,False,18,0,1,False
64.28,False,19,0,1,False
65.23,False,20,0,1,False
62.4,False,21,0,1,False
58.15,False,22,0,1,False
44.5,False,0,1,1,False
43.92,False,1,1,1,False
39.47,False,2,1,1,False
38.64,False,3,1,1,False
39.04,False,4,1,1,False
39.1,False,5,1,1,False
43.03,False,6,1,1,False
51.89,False,7,1,1,False
60.82,False,8,1,1,False
63.45,False,9,1,1,False
61.99,False,10,1,1,False
60.32,False,11,1,1,False
58.03,False,12,1,1,False
56.16,False,13,1,1,False
54.5,False,14,1,1,False
51.95,False,15,1,1,False
49.43,False,16,1,1,False
52.1,False,17,1,1,False
59.02,False,18,1,1,False
61.59,False,19,1,1,False
63.45,False,20,1,1,False
61.59,False,21,1,1,False
52.69,False,22,1,1,False
42.64,False,0,2,1,False
40.0,False,1,2,1,False
36.18,False,2,2,1,False
35.67,False,3,2,1,False
35.45,False,4,2,1,False
36.45,False,5,2,1,False
41.51,False,6,2,1,False
47.94,False,7,2,1,False
58.7,False,8,2,1,False
61.59,False,9,2,1,False
61.59,False,10,2,1,False
56.35,False,11,2,1,False
54.97,False,12,2,1,False
54.97,False,13,2,1,False
54.83,False,14,2,1,False
54.72,False,15,2,1,False
54.73,False,16,2,1,False
56.58,False,17,2,1,False
61.97,False,18,2,1,False
63.8,False,19,2,1,False
65.5,False,20,2,1,False
65.5,False,21,2,1,False
61.1,False,22,2,1,False
59.91,False,0,3,1,False
52.0,False,1,3,1,False
47.13,False,2,3,1,False
45.65,False,3,3,1,False
45.19,False,4,3,1,False
45.96,False,5,3,1,False
54.97,False,6,3,1,False
58.7,False,7,3,1,False
60.89,False,8,3,1,False
61.59,False,9,3,1,False
61.37,False,10,3,1,False
60.89,False,11,3,1,False
60.07,False,12,3,1,False
60.41,False,13,3,1,False
59.9,False,14,3,1,False
59.86,False,15,3,1,False
59.81,False,16,3,1,False
59.96,False,17,3,1,False
61.2,False,18,3,1,False
61.91,False,19,3,1,False
62.39,False,20,3,1,False
61.6,False,21,3,1,False
60.89,False,22,3,1,False
58.69,False,0,4,1,False
51.07,False,1,4,1,False
47.07,False,2,4,1,False
45.27,False,3,4,1,False
45.09,False,4,4,1,False
45.09,False,5,4,1,False
52.0,False,6,4,1,False
59.2,False,7,4,1,False
59.89,False,8,4,1,False
59.96,False,9,4,1,False
59.46,False,10,4,1,False
58.7,False,11,4,1,False
56.58,False,12,4,1,False
55.4,False,13,4,1,False
54.83,False,14,4,1,False
52.01,False,15,4,1,False
52.0,False,16,4,1,False
54.83,False,17,4,1,False
58.69,False,18,4,1,False
59.86,False,19,4,1,False
59.95,False,20,4,1,False
59.46,False,21,4,1,False
59.06,False,22,4,1,False
58.49,True,0,5,1,False
58.99,True,1,5,1,False
58.99,True,2,5,1,False
58.49,True,3,5,1,False
47.0,True,4,5,1,False
46.95,True,5,5,1,False
46.95,True,6,5,1,False
42.74,True,7,5,1,False
41.27,True,8,5,1,False
51.0,True,9,5,1,False
58.49,True,10,5,1,False
57.8,True,11,5,1,False
50.66,True,12,5,1,False
58.01,True,13,5,1,False
47.0,True,14,5,1,False
44.4,True,15,5,1,False
44.2,True,16,5,1,False
44.38,True,17,5,1,False
49.38,True,18,5,1,False
58.09,True,19,5,1,False
58.49,True,20,5,1,False
57.5,True,21,5,1,False
46.05,True,22,5,1,False
44.4,True,0,6,1,False
44.4,True,1,6,1,False
39.05,True,2,6,1,False
38.12,True,3,6,1,False
38.1,True,4,6,1,False
38.07,True,5,6,1,False
38.08,True,6,6,1,False
38.18,True,7,6,1,False
38.63,True,8,6,1,False
40.35,True,9,6,1,False
46.7,True,10,6,1,False
46.05,True,11,6,1,False
45.97,True,12,6,1,False
47.93,True,13,6,1,False
45.66,True,14,6,1,False
44.2,True,15,6,1,False
41.69,True,16,6,1,False
44.54,True,17,6,1,False
58.03,True,18,6,1,False
60.9,True,19,6,1,False
61.97,True,20,6,1,False
63.43,True,21,6,1,False
61.8,True,22,6,1,False
58.03,False,0,0,1,False
44.72,False,1,0,1,False
40.95,False,2,0,1,False
40.35,False,3,0,1,False
