timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2025-02-17 00:00:00+00:00,2025-02-17,1,97.92,1719.1,APXMIDP
2025-02-17 00:30:00+00:00,2025-02-17,2,104.16,1538.6,APXMIDP
2025-02-17 01:00:00+00:00,2025-02-17,3,93.48,1608.45,APXMIDP
2025-02-17 01:30:00+00:00,2025-02-17,4,92.8,1788.7,APXMIDP
2025-02-17 02:00:00+00:00,2025-02-17,5,94.85,1807.55,APXMIDP
2025-02-17 02:30:00+00:00,2025-02-17,6,94.7,1568.75,APXMIDP
2025-02-17 03:00:00+00:00,2025-02-17,7,92.69,1679.0,APXMIDP
2025-02-17 03:30:00+00:00,2025-02-17,8,92.66,1638.95,APXMIDP
2025-02-17 04:00:00+00:00,2025-02-17,9,94.12,1664.05,APXMIDP
2025-02-17 04:30:00+00:00,2025-02-17,10,89.53,2005.25,APXMIDP
2025-02-17 05:00:00+00:00,2025-02-17,11,97.21,2290.6,APXMIDP
2025-02-17 05:30:00+00:00,2025-02-17,12,75.99,2685.6,APXMIDP
2025-02-17 06:00:00+00:00,2025-02-17,13,101.28,1923.8,APXMIDP
2025-02-17 06:30:00+00:00,2025-02-17,14,107.1,2089.15,APXMIDP
2025-02-17 07:00:00+00:00,2025-02-17,15,114.34,2409.25,APXMIDP
2025-02-17 07:30:00+00:00,2025-02-17,16,120.56,2412.5,APXMIDP
2025-02-17 08:00:00+00:00,2025-02-17,17,105.16,2771.35,APXMIDP
2025-02-17 08:30:00+00:00,2025-02-17,18,124.59,2911.35,APXMIDP
2025-02-17 09:00:00+00:00,2025-02-17,19,109.74,2814.2,APXMIDP
2025-02-17 09:30:00+00:00,2025-02-17,20,110.03,3008.45,APXMIDP
2025-02-17 10:00:00+00:00,2025-02-17,21,97.2,3144.65,APXMIDP
2025-02-17 10:30:00+00:00,2025-02-17,22,97.22,3724.55,APXMIDP
2025-02-17 11:00:00+00:00,2025-02-17,23,94.85,4191.9,APXMIDP
2025-02-17 11:30:00+00:00,2025-02-17,24,94.04,4107.1,APXMIDP
2025-02-17 12:00:00+00:00,2025-02-17,25,93.74,4055.85,APXMIDP
2025-02-17 12:30:00+00:00,2025-02-17,26,94.38,4163.75,APXMIDP
2025-02-17 13:00:00+00:00,2025-02-17,27,94.12,4895.55,APXMIDP
2025-02-17 13:30:00+00:00,2025-02-17,28,92.99,4773.35,APXMIDP
2025-02-17 14:00:00+00:00,2025-02-17,29,99.12,4009.45,APXMIDP
2025-02-17 14:30:00+00:00,2025-02-17,30,98.08,4097.8,APXMIDP
