timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2022-05-02 00:00:00+00:00,2022-05-02,3,147.31,270.05,APXMIDP
2022-05-02 00:30:00+00:00,2022-05-02,4,151.53,339.4,APXMIDP
2022-05-02 01:00:00+00:00,2022-05-02,5,131.68,603.15,APXMIDP
2022-05-02 01:30:00+00:00,2022-05-02,6,114.41,363.65,APXMIDP
2022-05-02 02:00:00+00:00,2022-05-02,7,146.31,376.3,APXMIDP
2022-05-02 02:30:00+00:00,2022-05-02,8,139.06,344.45,APXMIDP
2022-05-02 03:00:00+00:00,2022-05-02,9,125.73,262.2,APXMIDP
2022-05-02 03:30:00+00:00,2022-05-02,10,139.48,318.1,APXMIDP
2022-05-02 04:00:00+00:00,2022-05-02,11,146.15,209.95,APXMIDP
2022-05-02 04:30:00+00:00,2022-05-02,12,159.66,361.35,APXMIDP
2022-05-02 05:00:00+00:00,2022-05-02,13,155.74,545.95,APXMIDP
2022-05-02 05:30:00+00:00,2022-05-02,14,137.49,787.4,APXMIDP
2022-05-02 06:00:00+00:00,2022-05-02,15,118.28,911.7,APXMIDP
2022-05-02 06:30:00+00:00,2022-05-02,16,134.59,922.7,APXMIDP
2022-05-02 07:00:00+00:00,2022-05-02,17,161.98,827.6,APXMIDP
2022-05-02 07:30:00+00:00,2022-05-02,18,174.23,796.7,APXMIDP
2022-05-02 08:00:00+00:00,2022-05-02,19,158.51,1299.3,APXMIDP
2022-05-02 08:30:00+00:00,2022-05-02,20,166.26,1257.4,APXMIDP
2022-05-02 09:00:00+00:00,2022-05-02,21,143.85,1224.45,APXMIDP
2022-05-02 09:30:00+00:00,2022-05-02,22,147.1,1397.4,APXMIDP
2022-05-02 10:00:00+00:00,2022-05-02,23,152.78,1199.75,APXMIDP
2022-05-02 10:30:00+00:00,2022-05-02,24,152.16,931.55,APXMIDP
2022-05-02 11:00:00+00:00,2022-05-02,25,136.54,1061.1,APXMIDP
2022-05-02 11:30:00+00:00,2022-05-02,26,130.07,1253.1,APXMIDP
2022-05-02 12:00:00+00:00,2022-05-02,27,169.8,1058.1,APXMIDP
2022-05-02 12:30:00+00:00,2022-05-02,28,136.46,1020.35,APXMIDP
2022-05-02 13:00:00+00:00,2022-05-02,29,145.4,849.75,APXMIDP
2022-05-02 13:30:00+00:00,2022-05-02,30,150.1,1000.95,APXMIDP
2022-05-02 14:00:00+00:00,2022-05-02,31,162.99,1102.5,APXMIDP
2022-05-02 14:30:00+00:00,2022-05-02,32,178.58,1192.05,APXMIDP
2022-05-02 15:00:00+00:00,2022-05-02,33,162.3,1065.85,APXMIDP
