timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2022-11-11 00:00:00+00:00,2022-11-11,1,-1.82,892.05,APXMIDP
2022-11-11 00:30:00+00:00,2022-11-11,2,22.58,883.8,APXMIDP
2022-11-11 01:00:00+00:00,2022-11-11,3,-12.72,1064.45,APXMIDP
2022-11-11 01:30:00+00:00,2022-11-11,4,-31.44,992.2,APXMIDP
2022-11-11 02:00:00+00:00,2022-11-11,5,-44.8,1152.75,APXMIDP
2022-11-11 02:30:00+00:00,2022-11-11,6,-47.27,1086.9,APXMIDP
2022-11-11 03:00:00+00:00,2022-11-11,7,-49.97,889.4,APXMIDP
2022-11-11 03:30:00+00:00,2022-11-11,8,-54.16,922.05,APXMIDP
2022-11-11 04:00:00+00:00,2022-11-11,9,-55.75,890.3,APXMIDP
2022-11-11 04:30:00+00:00,2022-11-11,10,-60.64,1074.15,APXMIDP
2022-11-11 05:00:00+00:00,2022-11-11,11,-64.38,1221.95,APXMIDP
2022-11-11 05:30:00+00:00,2022-11-11,12,-62.61,1192.35,APXMIDP
2022-11-11 06:00:00+00:00,2022-11-11,13,-34.78,1131.45,APXMIDP
2022-11-11 06:30:00+00:00,2022-11-11,14,52.04,1153.7,APXMIDP
2022-11-11 07:00:00+00:00,2022-11-11,15,67.46,1681.45,APXMIDP
2022-11-11 07:30:00+00:00,2022-11-11,16,97.89,1413.5,APXMIDP
2022-11-11 08:00:00+00:00,2022-11-11,17,73.68,1367.9,APXMIDP
2022-11-11 08:30:00+00:00,2022-11-11,18,91.08,1350.45,APXMIDP
2022-11-11 09:00:00+00:00,2022-11-11,19,104.74,1478.95,APXMIDP
2022-11-11 09:30:00+00:00,2022-11-11,20,103.23,1551.65,APXMIDP
2022-11-11 10:00:00+00:00,2022-11-11,21,97.34,1739.25,APXMIDP
2022-11-11 10:30:00+00:00,2022-11-11,22,104.67,1546.9,APXMIDP
2022-11-11 11:00:00+00:00,2022-11-11,23,108.61,1730.75,APXMIDP
2022-11-11 11:30:00+00:00,2022-11-11,24,89.22,1550.45,APXMIDP
2022-11-11 12:00:00+00:00,2022-11-11,25,89.57,1743.5,APXMIDP
2022-11-11 12:30:00+00:00,2022-11-11,26,87.8,1969.15,APXMIDP
2022-11-11 13:00:00+00:00,2022-11-11,27,97.3,1843.1,APXMIDP
2022-11-11 13:30:00+00:00,2022-11-11,28,94.2,1689.8,APXMIDP
2022-11-11 14:00:00+00:00,2022-11-11,29,113.2,1667.65,APXMIDP
2022-11-11 14:30:00+00:00,2022-11-11,30,111.78,1671.65,APXMIDP
2022-11-11 15:00:00+00:00,2022-11-11,31,103.97,1915.85,APXMIDP
2022-11-11 15:30:00+00:00,2022-11-11,32,93.64,1522.5,APXMIDP
2022-11-11 16:00:00+00:00,2022-11-11,33,91.31,1545.65,APXMIDP
2022-11-11 16:30:00+00:00,2022-11-11,34,105.28,1445.85,APXMIDP
