timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2019-07-01 00:00:00+00:00,2019-07-01,3,33.87,415.0,APXMIDP
2019-07-01 00:30:00+00:00,2019-07-01,4,26.76,352.3,APXMIDP
2019-07-01 01:00:00+00:00,2019-07-01,5,26.46,424.05,APXMIDP
2019-07-01 01:30:00+00:00,2019-07-01,6,23.38,433.9,APXMIDP
2019-07-01 02:00:00+00:00,2019-07-01,7,22.57,350.2,APXMIDP
2019-07-01 02:30:00+00:00,2019-07-01,8,19.28,332.9,APXMIDP
2019-07-01 03:00:00+00:00,2019-07-01,9,20.75,379.55,APXMIDP
2019-07-01 03:30:00+00:00,2019-07-01,10,18.96,392.1,APXMIDP
2019-07-01 04:00:00+00:00,2019-07-01,11,19.37,295.15,APXMIDP
2019-07-01 04:30:00+00:00,2019-07-01,12,18.82,388.05,APXMIDP
2019-07-01 05:00:00+00:00,2019-07-01,13,21.92,593.75,APXMIDP
2019-07-01 05:30:00+00:00,2019-07-01,14,33.57,830.3,APXMIDP
2019-07-01 06:00:00+00:00,2019-07-01,15,23.31,644.1,APXMIDP
2019-07-01 06:30:00+00:00,2019-07-01,16,34.68,691.5,APXMIDP
2019-07-01 07:00:00+00:00,2019-07-01,17,28.18,662.7,APXMIDP
2019-07-01 07:30:00+00:00,2019-07-01,18,22.2,799.5,APXMIDP
2019-07-01 08:00:00+00:00,2019-07-01,19,34.07,1759.5,APXMIDP
2019-07-01 08:30:00+00:00,2019-07-01,20,39.89,1676.1,APXMIDP
2019-07-01 09:00:00+00:00,2019-07-01,21,42.17,1906.25,APXMIDP
2019-07-01 09:30:00+00:00,2019-07-01,22,41.61,1811.1,APXMIDP
2019-07-01 10:00:00+00:00,2019-07-01,23,39.78,1827.05,APXMIDP
2019-07-01 10:30:00+00:00,2019-07-01,24,40.93,1962.3,APXMIDP
2019-07-01 11:00:00+00:00,2019-07-01,25,41.44,2000.55,APXMIDP
2019-07-01 11:30:00+00:00,2019-07-01,26,41.45,2097.8,APXMIDP
2019-07-01 12:00:00+00:00,2019-07-01,27,43.13,2111.55,APXMIDP
2019-07-01 12:30:00+00:00,2019-07-01,28,42.13,2104.25,APXMIDP
2019-07-01 13:00:00+00:00,2019-07-01,29,42.04,2245.35,APXMIDP
2019-07-01 13:30:00+00:00,2019-07-01,30,38.41,2475.1,APXMIDP
2019-07-01 14:00:00+00:00,2019-07-01,31,38.87,2240.85,APXMIDP
2019-07-01 14:30:00+00:00,2019-07-01,32,40.86,2270.05,APXMIDP
2019-07-01 15:00:00+00:00,2019-07-01,33,41.81,2550.3,APXMIDP
2019-07-01 15:30:00+00:00,2019-07-01,34,41.79,3031.35,APXMIDP
2019-07-01 16:00:00+00:00,2019-07-01,35,41.43,2564.15,APXMIDP
2019-07-01 16:30:00+00:00,2019-07-01,36,42.62,2814.85,APXMIDP
2019-07-01 17:00:00+00:00,2019-07-01,37,45.9,2497.05,APXMIDP
2019-07-01 17:30:00+00:00,2019-07-01,38,47.87,2536.15,APXMIDP
2019-07-01 18:00:00+00:00,2019-07-01,39,56.91,1666.65,APXMIDP
2019-07-01 18:30:00+00:00,2019-07-01,40,58.97,1485.75,APXMIDP
2019-07-01 19:00:00+00:00,2019-07-01,41,58.2,1495.3,APXMIDP
2019-07-01 19:30:00+00:00,2019-07-01,42,56.3,1695.3,APXMIDP
2019-07-01 20:00:00+00:00,2019-07-01,43,56.05,1566.15,APXMIDP
2019-07-01 20:30:00+00:00,2019-07-01,44,55.31,1423.25,APXMIDP
2019-07-01 21:00:00+00:00,2019-07-01,45,55.69,1429.55,APXMIDP
2019-07-01 21:30:00+00:00,2019-07-01,46,46.23,1572.85,APXMIDP
2019-07-01 22:00:00+00:00,2019-07-01,47,34.96,917.05,APXMIDP
2019-07-01 22:30:00+00:00,2019-07-01,48,43.85,828.65,APXMIDP
2019-07-01 23:00:00+00:00,2019-07-02,1,43.13,710.9,APXMIDP
2019-07-01 23:30:00+00:00,2019-07-02,2,31.86,530.8,APXMIDP
2019-07-02 00:00:00+00:00,2019-07-02,3,32.37,485.45,APXMIDP
2019-07-02 00:30:00+00:00,2019-07-02,4,32.56,479.0,APXMIDP
2019-07-02 01:00:00+00:00,2019-07-02,5,27.79,603.2,APXMIDP
2019-07-02 01:30:00+00:00,2019-07-02,6,30.1,876.05,APXMIDP
2019-07-02 02:00:00+00:00,2019-07-02,7,30.42,726.45,APXMIDP
2019-07-02 02:30:00+00:00,2019-07-02,8,29.86,719.35,APXMIDP
2019-07-02 03:00:00+00:00,2019-07-02,9,29.61,659.1,APXMIDP
2019-07-02 03:30:00+00:00,2019-07-02,10,29.44,704.7,APXMIDP
2019-07-02 04:00:00+00:00,2019-07-02,11,31.21,547.4,APXMIDP
