timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2022-02-04 00:00:00+00:00,2022-02-04,1,112.59,866.15,APXMIDP
2022-02-04 00:30:00+00:00,2022-02-04,2,143.85,1361.9,APXMIDP
2022-02-04 01:00:00+00:00,2022-02-04,3,163.7,1260.4,APXMIDP
2022-02-04 01:30:00+00:00,2022-02-04,4,154.63,1209.7,APXMIDP
2022-02-04 02:00:00+00:00,2022-02-04,5,140.7,1479.5,APXMIDP
2022-02-04 02:30:00+00:00,2022-02-04,6,139.56,1383.1,APXMIDP
2022-02-04 03:00:00+00:00,2022-02-04,7,147.02,1160.75,APXMIDP
2022-02-04 03:30:00+00:00,2022-02-04,8,135.97,1160.55,APXMIDP
2022-02-04 04:00:00+00:00,2022-02-04,9,130.93,1560.6,APXMIDP
2022-02-04 04:30:00+00:00,2022-02-04,10,148.89,1502.95,APXMIDP
2022-02-04 05:00:00+00:00,2022-02-04,11,181.28,1115.9,APXMIDP
2022-02-04 05:30:00+00:00,2022-02-04,12,194.12,1280.5,APXMIDP
2022-02-04 06:00:00+00:00,2022-02-04,13,190.79,1449.0,APXMIDP
2022-02-04 06:30:00+00:00,2022-02-04,14,193.4,1743.9,APXMIDP
2022-02-04 07:00:00+00:00,2022-02-04,15,183.14,2033.25,APXMIDP
2022-02-04 07:30:00+00:00,2022-02-04,16,209.46,2008.6,APXMIDP
2022-02-04 08:00:00+00:00,2022-02-04,17,190.35,1760.05,APXMIDP
2022-02-04 08:30:00+00:00,2022-02-04,18,190.85,1901.75,APXMIDP
2022-02-04 09:00:00+00:00,2022-02-04,19,194.61,1539.1,APXMIDP
2022-02-04 09:30:00+00:00,2022-02-04,20,191.54,1638.5,APXMIDP
2022-02-04 10:00:00+00:00,2022-02-04,21,202.02,1589.35,APXMIDP
2022-02-04 10:30:00+00:00,2022-02-04,22,197.49,1692.7,APXMIDP
2022-02-04 11:00:00+00:00,2022-02-04,23,198.67,1572.4,APXMIDP
2022-02-04 11:30:00+00:00,2022-02-04,24,154.76,1698.5,APXMIDP
2022-02-04 12:00:00+00:00,2022-02-04,25,153.03,1552.1,APXMIDP
2022-02-04 12:30:00+00:00,2022-02-04,26,147.01,1577.8,APXMIDP
2022-02-04 13:00:00+00:00,2022-02-04,27,152.08,1318.1,APXMIDP
2022-02-04 13:30:00+00:00,2022-02-04,28,146.43,1160.5,APXMIDP
2022-02-04 14:00:00+00:00,2022-02-04,29,142.11,1379.65,APXMIDP
2022-02-04 14:30:00+00:00,2022-02-04,30,142.46,1615.3,APXMIDP
2022-02-04 15:00:00+00:00,2022-02-04,31,125.75,1012.25,APXMIDP
2022-02-04 15:30:00+00:00,2022-02-04,32,122.13,819.15,APXMIDP
2022-02-04 16:00:00+00:00,2022-02-04,33,149.55,1157.5,APXMIDP
2022-02-04 16:30:00+00:00,2022-02-04,34,167.02,1250.25,APXMIDP
2022-02-04 17:00:00+00:00,2022-02-04,35,179.77,1368.3,APXMIDP
2022-02-04 17:30:00+00:00,2022-02-04,36,190.91,1589.8,APXMIDP
