timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2020-05-25 00:00:00+00:00,2020-05-25,3,42.0,376.75,APXMIDP
2020-05-25 00:30:00+00:00,2020-05-25,4,42.34,452.6,APXMIDP
2020-05-25 01:00:00+00:00,2020-05-25,5,41.39,475.1,APXMIDP
2020-05-25 01:30:00+00:00,2020-05-25,6,41.05,626.8,APXMIDP
2020-05-25 02:00:00+00:00,2020-05-25,7,38.9,357.45,APXMIDP
2020-05-25 02:30:00+00:00,2020-05-25,8,36.14,523.55,APXMIDP
2020-05-25 03:00:00+00:00,2020-05-25,9,36.88,417.75,APXMIDP
2020-05-25 03:30:00+00:00,2020-05-25,10,35.79,468.4,APXMIDP
2020-05-25 04:00:00+00:00,2020-05-25,11,30.79,590.3,APXMIDP
2020-05-25 04:30:00+00:00,2020-05-25,12,37.36,636.0,APXMIDP
2020-05-25 05:00:00+00:00,2020-05-25,13,36.48,710.45,APXMIDP
2020-05-25 05:30:00+00:00,2020-05-25,14,38.03,1038.4,APXMIDP
2020-05-25 06:00:00+00:00,2020-05-25,15,38.34,836.75,APXMIDP
2020-05-25 06:30:00+00:00,2020-05-25,16,35.35,997.85,APXMIDP
2020-05-25 07:00:00+00:00,2020-05-25,17,36.44,897.45,APXMIDP
2020-05-25 07:30:00+00:00,2020-05-25,18,37.47,946.1,APXMIDP
2020-05-25 08:00:00+00:00,2020-05-25,19,35.16,1496.8,APXMIDP
2020-05-25 08:30:00+00:00,2020-05-25,20,34.93,1788.25,APXMIDP
2020-05-25 09:00:00+00:00,2020-05-25,21,32.58,1506.5,APXMIDP
2020-05-25 09:30:00+00:00,2020-05-25,22,29.48,1423.35,APXMIDP
2020-05-25 10:00:00+00:00,2020-05-25,23,21.73,1092.25,APXMIDP
2020-05-25 10:30:00+00:00,2020-05-25,24,21.61,1124.9,APXMIDP
2020-05-25 11:00:00+00:00,2020-05-25,25,20.55,1292.3,APXMIDP
2020-05-25 11:30:00+00:00,2020-05-25,26,19.19,1203.95,APXMIDP
2020-05-25 12:00:00+00:00,2020-05-25,27,17.98,1255.7,APXMIDP
2020-05-25 12:30:00+00:00,2020-05-25,28,16.43,1245.45,APXMIDP
2020-05-25 13:00:00+00:00,2020-05-25,29,17.62,1392.05,APXMIDP
2020-05-25 13:30:00+00:00,2020-05-25,30,15.56,1437.5,APXMIDP
2020-05-25 14:00:00+00:00,2020-05-25,31,12.71,1057.95,APXMIDP
2020-05-25 14:30:00+00:00,2020-05-25,32,13.51,1220.25,APXMIDP
2020-05-25 15:00:00+00:00,2020-05-25,33,12.24,1441.25,APXMIDP
2020-05-25 15:30:00+00:00,2020-05-25,34,15.04,1435.45,APXMIDP
2020-05-25 16:00:00+00:00,2020-05-25,35,15.14,1254.8,APXMIDP
2020-05-25 16:30:00+00:00,2020-05-25,36,18.65,1130.95,APXMIDP
2020-05-25 17:00:00+00:00,2020-05-25,37,20.56,1541.3,APXMIDP
2020-05-25 17:30:00+00:00,2020-05-25,38,24.38,1790.95,APXMIDP
2020-05-25 18:00:00+00:00,2020-05-25,39,32.95,1461.05,APXMIDP
2020-05-25 18:30:00+00:00,2020-05-25,40,33.19,1250.85,APXMIDP
2020-05-25 19:00:00+00:00,2020-05-25,41,34.67,1055.7,APXMIDP
2020-05-25 19:30:00+00:00,2020-05-25,42,36.07,1105.4,APXMIDP
2020-05-25 20:00:00+00:00,2020-05-25,43,38.57,917.8,APXMIDP
2020-05-25 20:30:00+00:00,2020-05-25,44,38.76,976.35,APXMIDP
2020-05-25 21:00:00+00:00,2020-05-25,45,38.53,1027.3,APXMIDP
2020-05-25 21:30:00+00:00,2020-05-25,46,37.75,971.7,APXMIDP
2020-05-25 22:00:00+00:00,2020-05-25,47,37.02,1276.6,APXMIDP
2020-05-25 22:30:00+00:00,2020-05-25,48,30.78,1026.1,APXMIDP
2020-05-25 23:00:00+00:00,2020-05-26,1,28.19,1016.8,APXMIDP
2020-05-25 23:30:00+00:00,2020-05-26,2,27.24,822.85,APXMIDP
2020-05-26 00:00:00+00:00,2020-05-26,3,25.66,753.75,APXMIDP
2020-05-26 00:30:00+00:00,2020-05-26,4,26.27,634.0,APXMIDP
2020-05-26 01:00:00+00:00,2020-05-26,5,29.6,731.0,APXMIDP
2020-05-26 01:30:00+00:00,2020-05-26,6,27.64,600.2,APXMIDP
2020-05-26 02:00:00+00:00,2020-05-26,7,27.25,492.6,APXMIDP
2020-05-26 02:30:00+00:00,2020-05-26,8,28.44,532.65,APXMIDP
2020-05-26 03:00:00+00:00,2020-05-26,9,29.14,492.9,APXMIDP
2020-05-26 03:30:00+00:00,2020-05-26,10,30.27,602.7,APXMIDP
2020-05-26 04:00:00+00:00,2020-05-26,11,28.77,803.05,APXMIDP
2020-05-26 04:30:00+00:00,2020-05-26,12,29.39,772.35,APXMIDP
2020-05-26 05:00:00+00:00,2020-05-26,13,36.52,1117.5,APXMIDP
2020-05-26 05:30:00+00:00,2020-05-26,14,32.97,766.0,APXMIDP
2020-05-26 06:00:00+00:00,2020-05-26,15,22.43,997.1,APXMIDP
2020-05-26 06:30:00+00:00,2020-05-26,16,22.61,704.7,APXMIDP
2020-05-26 07:00:00+00:00,2020-05-26,17,21.97,1187.3,APXMIDP
2020-05-26 07:30:00+00:00,2020-05-26,18,22.89,907.95,APXMIDP
2020-05-26 08:00:00+00:00,2020-05-26,19,20.34,817.1,APXMIDP
2020-05-26 08:30:00+00:00,2020-05-26,20,19.42,1106.75,APXMIDP
2020-05-26 09:00:00+00:00,2020-05-26,21,24.61,1516.6,APXMIDP
2020-05-26 09:30:00+00:00,2020-05-26,22,19.6,1395.5,APXMIDP
2020-05-26 10:00:00+00:00,2020-05-26,23,23.39,1636.45,APXMIDP
2020-05-26 10:30:00+00:00,2020-05-26,24,23.98,1972.45,APXMIDP
2020-05-26 11:00:00+00:00,2020-05-26,25,24.8,1915.4,APXMIDP
