timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2023-02-03 00:00:00+00:00,2023-02-03,1,104.79,1011.5,APXMIDP
2023-02-03 00:30:00+00:00,2023-02-03,2,130.19,982.5,APXMIDP
2023-02-03 01:00:00+00:00,2023-02-03,3,103.78,1107.2,APXMIDP
2023-02-03 01:30:00+00:00,2023-02-03,4,82.68,1211.15,APXMIDP
2023-02-03 02:00:00+00:00,2023-02-03,5,87.81,1244.35,APXMIDP
2023-02-03 02:30:00+00:00,2023-02-03,6,92.49,1109.7,APXMIDP
2023-02-03 03:00:00+00:00,2023-02-03,7,106.77,1083.55,APXMIDP
2023-02-03 03:30:00+00:00,2023-02-03,8,99.66,1069.75,APXMIDP
2023-02-03 04:00:00+00:00,2023-02-03,9,66.9,1289.0,APXMIDP
2023-02-03 04:30:00+00:00,2023-02-03,10,58.33,1318.95,APXMIDP
2023-02-03 05:00:00+00:00,2023-02-03,11,85.39,1592.15,APXMIDP
2023-02-03 05:30:00+00:00,2023-02-03,12,136.64,1050.85,APXMIDP
2023-02-03 06:00:00+00:00,2023-02-03,13,112.32,1129.7,APXMIDP
2023-02-03 06:30:00+00:00,2023-02-03,14,107.85,1422.1,APXMIDP
2023-02-03 07:00:00+00:00,2023-02-03,15,82.41,2185.25,APXMIDP
2023-02-03 07:30:00+00:00,2023-02-03,16,140.03,1653.15,APXMIDP
2023-02-03 08:00:00+00:00,2023-02-03,17,130.93,1997.4,APXMIDP
2023-02-03 08:30:00+00:00,2023-02-03,18,163.03,1898.4,APXMIDP
2023-02-03 09:00:00+00:00,2023-02-03,19,146.7,1810.9,APXMIDP
2023-02-03 09:30:00+00:00,2023-02-03,20,152.77,1952.25,APXMIDP
2023-02-03 10:00:00+00:00,2023-02-03,21,145.27,2001.6,APXMIDP
2023-02-03 10:30:00+00:00,2023-02-03,22,148.91,1910.75,APXMIDP
2023-02-03 11:00:00+00:00,2023-02-03,23,144.03,1734.4,APXMIDP
2023-02-03 11:30:00+00:00,2023-02-03,24,140.05,1867.35,APXMIDP
2023-02-03 12:00:00+00:00,2023-02-03,25,143.05,2175.5,APXMIDP
2023-02-03 12:30:00+00:00,2023-02-03,26,136.95,2311.0,APXMIDP
