timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2022-12-12 00:00:00+00:00,2022-12-12,1,336.86,479.4,APXMIDP
2022-12-12 00:30:00+00:00,2022-12-12,2,363.52,816.45,APXMIDP
2022-12-12 01:00:00+00:00,2022-12-12,3,317.36,497.05,APXMIDP
2022-12-12 01:30:00+00:00,2022-12-12,4,303.16,712.7,APXMIDP
2022-12-12 02:00:00+00:00,2022-12-12,5,286.62,400.3,APXMIDP
2022-12-12 02:30:00+00:00,2022-12-12,6,285.23,811.95,APXMIDP
2022-12-12 03:00:00+00:00,2022-12-12,7,288.28,491.55,APXMIDP
2022-12-12 03:30:00+00:00,2022-12-12,8,271.99,571.9,APXMIDP
2022-12-12 04:00:00+00:00,2022-12-12,9,308.62,359.55,APXMIDP
2022-12-12 04:30:00+00:00,2022-12-12,10,289.36,526.75,APXMIDP
2022-12-12 05:00:00+00:00,2022-12-12,11,316.05,259.3,APXMIDP
2022-12-12 05:30:00+00:00,2022-12-12,12,299.77,644.5,APXMIDP
2022-12-12 06:00:00+00:00,2022-12-12,13,384.42,528.15,APXMIDP
2022-12-12 06:30:00+00:00,2022-12-12,14,505.98,756.75,APXMIDP
2022-12-12 07:00:00+00:00,2022-12-12,15,381.37,1318.5,APXMIDP
2022-12-12 07:30:00+00:00,2022-12-12,16,534.48,1175.05,APXMIDP
2022-12-12 08:00:00+00:00,2022-12-12,17,461.03,1089.1,APXMIDP
2022-12-12 08:30:00+00:00,2022-12-12,18,533.36,1565.75,APXMIDP
2022-12-12 09:00:00+00:00,2022-12-12,19,420.6,1568.5,APXMIDP
2022-12-12 09:30:00+00:00,2022-12-12,20,450.54,1647.75,APXMIDP
2022-12-12 10:00:00+00:00,2022-12-12,21,449.9,1808.35,APXMIDP
2022-12-12 10:30:00+00:00,2022-12-12,22,492.46,2007.45,APXMIDP
2022-12-12 11:00:00+00:00,2022-12-12,23,499.89,1951.9,APXMIDP
2022-12-12 11:30:00+00:00,2022-12-12,24,498.21,2042.75,APXMIDP
2022-12-12 12:00:00+00:00,2022-12-12,25,492.31,2018.6,APXMIDP
2022-12-12 12:30:00+00:00,2022-12-12,26,531.75,2276.7,APXMIDP
2022-12-12 13:00:00+00:00,2022-12-12,27,663.33,2285.15,APXMIDP
2022-12-12 13:30:00+00:00,2022-12-12,28,594.22,2532.45,APXMIDP
2022-12-12 14:00:00+00:00,2022-12-12,29,583.33,2448.0,APXMIDP
2022-12-12 14:30:00+00:00,2022-12-12,30,562.61,2564.05,APXMIDP
2022-12-12 15:00:00+00:00,2022-12-12,31,572.21,2395.3,APXMIDP
2022-12-12 15:30:00+00:00,2022-12-12,32,604.75,2117.75,APXMIDP
2022-12-12 16:00:00+00:00,2022-12-12,33,659.42,2080.95,APXMIDP
2022-12-12 16:30:00+00:00,2022-12-12,34,820.63,2387.55,APXMIDP
2022-12-12 17:00:00+00:00,2022-12-12,35,726.75,2092.8,APXMIDP
2022-12-12 17:30:00+00:00,2022-12-12,36,645.09,2189.7,APXMIDP
2022-12-12 18:00:00+00:00,2022-12-12,37,673.89,1998.75,APXMIDP
2022-12-12 18:30:00+00:00,2022-12-12,38,594.36,2342.9,APXMIDP
2022-12-12 19:00:00+00:00,2022-12-12,39,411.79,1815.35,APXMIDP
2022-12-12 19:30:00+00:00,2022-12-12,40,394.04,1704.55,APXMIDP
2022-12-12 20:00:00+00:00,2022-12-12,41,438.73,2091.25,APXMIDP
2022-12-12 20:30:00+00:00,2022-12-12,42,391.72,1904.5,APXMIDP
2022-12-12 21:00:00+00:00,2022-12-12,43,335.02,1270.2,APXMIDP
2022-12-12 21:30:00+00:00,2022-12-12,44,304.64,1096.1,APXMIDP
2022-12-12 22:00:00+00:00,2022-12-12,45,305.25,1082.45,APXMIDP
2022-12-12 22:30:00+00:00,2022-12-12,46,303.24,990.15,APXMIDP
2022-12-12 23:00:00+00:00,2022-12-12,47,292.26,593.6,APXMIDP
2022-12-12 23:30:00+00:00,2022-12-12,48,261.61,468.3,APXMIDP
2022-12-13 00:00:00+00:00,2022-12-13,1,281.83,750.5,APXMIDP
2022-12-13 00:30:00+00:00,2022-12-13,2,313.21,526.45,APXMIDP
2022-12-13 01:00:00+00:00,2022-12-13,3,286.1,646.65,APXMIDP
2022-12-13 01:30:00+00:00,2022-12-13,4,260.2,684.6,APXMIDP
2022-12-13 02:00:00+00:00,2022-12-13,5,271.08,709.85,APXMIDP
2022-12-13 02:30:00+00:00,2022-12-13,6,262.99,713.75,APXMIDP
2022-12-13 03:00:00+00:00,2022-12-13,7,279.01,699.9,APXMIDP
2022-12-13 03:30:00+00:00,2022-12-13,8,270.53,758.55,APXMIDP
2022-12-13 04:00:00+00:00,2022-12-13,9,311.29,1012.0,APXMIDP
2022-12-13 04:30:00+00:00,2022-12-13,10,299.4,1105.75,APXMIDP
2022-12-13 05:00:00+00:00,2022-12-13,11,374.83,630.55,APXMIDP
2022-12-13 05:30:00+00:00,2022-12-13,12,389.87,1027.8,APXMIDP
2022-12-13 06:00:00+00:00,2022-12-13,13,364.33,1171.15,APXMIDP
2022-12-13 06:30:00+00:00,2022-12-13,14,451.61,1440.45,APXMIDP
2022-12-13 07:00:00+00:00,2022-12-13,15,455.88,1579.55,APXMIDP
2022-12-13 07:30:00+00:00,2022-12-13,16,506.5,1559.55,APXMIDP
2022-12-13 08:00:00+00:00,2022-12-13,17,449.87,1539.65,APXMIDP
2022-12-13 08:30:00+00:00,2022-12-13,18,489.92,1806.85,APXMIDP
2022-12-13 09:00:00+00:00,2022-12-13,19,461.55,1392.95,APXMIDP
2022-12-13 09:30:00+00:00,2022-12-13,20,499.26,1496.0,APXMIDP
2022-12-13 10:00:00+00:00,2022-12-13,21,511.94,1693.95,APXMIDP
2022-12-13 10:30:00+00:00,2022-12-13,22,489.48,1834.5,APXMIDP
2022-12-13 11:00:00+00:00,2022-12-13,23,440.84,2075.85,APXMIDP
2022-12-13 11:30:00+00:00,2022-12-13,24,453.63,2000.0,APXMIDP
2022-12-13 12:00:00+00:00,2022-12-13,25,466.92,1833.5,APXMIDP
2022-12-13 12:30:00+00:00,2022-12-13,26,477.31,1902.95,APXMIDP
2022-12-13 13:00:00+00:00,2022-12-13,27,493.04,1929.8,APXMIDP
2022-12-13 13:30:00+00:00,2022-12-13,28,478.22,2058.65,APXMIDP
2022-12-13 14:00:00+00:00,2022-12-13,29,479.49,2269.7,APXMIDP
2022-12-13 14:30:00+00:00,2022-12-13,30,475.79,2201.3,APXMIDP
2022-12-13 15:00:00+00:00,2022-12-13,31,544.59,2046.15,APXMIDP
2022-12-13 15:30:00+00:00,2022-12-13,32,543.25,2266.7,APXMIDP
